twitter_username,name,followers_count,user_tweet_count,created_at,id,query_tweet_count
Yusuf_Mansur,Yusuf Mansur,2990993,3980,2011-05-27T00:58:34.000Z,305935546,10222
VincentKompany,Vincent Kompany,2983892,2429,2011-12-14T13:25:26.000Z,436702610,6972
williebosshog,Willie Robertson,2075172,2259,2011-02-18T20:01:38.000Z,254189974,305
Stromae,Stromae,2221888,617,2009-06-30T19:43:27.000Z,52496551,5217
neilhimself,Neil Gaiman,2865107,171003,2008-12-26T19:30:36.000Z,18393773,149848
MoezMasoud,Moez Masoud,3647609,3435,2009-09-16T09:49:49.000Z,74694859,812
DavidSpade,David Spade,2744516,5120,2009-03-03T18:37:23.000Z,22657153,20799
PaulaAbdul,Paula Abdul,2005454,26661,2009-03-30T22:42:25.000Z,27750488,15067
drose,Derrick Rose,2544850,91,2012-06-19T17:20:17.000Z,612792060,28183
Fabio_Coentrao,Fabio Coentrao,2319520,132,2011-07-05T16:37:17.000Z,329789735,225
ayseozyilmazel,ayse ozyilmazel,2129459,18581,2009-06-28T10:41:33.000Z,51701366,2535
alo_oficial,Fernando Alonso,2905024,8569,2012-02-28T17:35:37.000Z,507672047,147005
RebelWilson,Rebel Wilson,2675047,6325,2010-05-29T17:43:05.000Z,149590738,12968
robertmarion,Robi Domingo,3105158,9123,2009-08-02T07:02:00.000Z,62216533,72040
bonnovanderputt,bonno van der putten,436268,26581,2012-01-28T17:27:40.000Z,476946794,9
sgokbakar,Şahan Gökbakar,2442542,4069,2011-05-03T20:17:31.000Z,292535614,4138
luke_brooks,Luke Brooks,1879759,14409,2009-07-25T12:51:23.000Z,60050843,306
depechemode,Depeche Mode,2186734,1348,2009-03-24T22:52:15.000Z,26347170,15915
amyschumer,Amy Schumer,4446780,181,2009-07-09T02:45:03.000Z,55117855,20756
CraigyFerg,Craig Ferguson,2628936,2941,2010-02-08T19:14:33.000Z,112508240,20133
FatinSL,Fatin Shidqia Lubis,3011580,10460,2012-11-24T10:12:18.000Z,967748192,1787
mnzadornov,ЗАДОРНОВа команда,2428275,6906,2010-06-30T06:52:56.000Z,161199279,45
ayushmannk,Ayushmann Khurrana,5951413,21813,2009-05-07T09:47:36.000Z,38403110,18576
BIRDMAN5STAR,BIRDMAN,2430422,10549,2009-05-06T06:16:46.000Z,38127255,3521
danisuzuki,Dani Suzuki,2308536,9390,2009-06-10T19:09:50.000Z,46196327,228
kylieminogue,Kylie Minogue,2199320,14025,2009-08-05T16:03:32.000Z,63172203,105694
Zedd,Zedd,7742802,34966,2010-06-14T21:53:37.000Z,155705264,44148
SleepintheGardn,Troian,2349183,8321,2010-04-08T23:29:12.000Z,130991061,5632
therealjuicyj,juicy j,2795518,46484,2009-03-13T22:59:30.000Z,24275419,83570
manugavassi,Manu Gavassi,6433461,42676,2009-04-15T22:44:52.000Z,31547933,169243
